page_id,page_title,view_count,protection_status,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,page_id_scrapped,redirects,recent_number_of_edits,number_distinct_authors,number_categories
649497,Ten High,66388,unprotected,2942,129,25,50.79,477,649497,0,0,0,2
8035336,Wig wag (truck braking systems),45452,unprotected,64,28,25,50.79,233,8035336,0,0,0,2
8998584,Cack,12911,sysop,359,11,25,50.79,118,8998584,0,0,0,2
19518467,Huntoon Mountains,3521,unprotected,1255,12,25,50.79,9,19518467,0,0,0,2
22358273,Mesohibolites,2748,unprotected,1214,7,25,50.79,3,22358273,0,0,0,2
32289827,The Gravy Train,56091,unprotected,3424,40,25,50.79,631,32289827,0,0,0,2
38309501,List of theatres in Serbia,8509,unprotected,5604,24,25,50.79,28,38309501,0,0,0,2
39323133,2013_stanley_cup_finals,2048,sysop,69,2,25,50.79,1,39323133,0,0,0,2
39323148,2013_Stanley_Cup_finals,1433,sysop,69,2,25,50.79,8,39323148,0,0,0,2
41511721,Mudar Zahran,62728,extendedconfirmed,9475,403,47,14,288,41511721,0,0,0,2
42486165,2014_Stanley_Cup_finals,851,sysop,69,3,25,50.79,1,42486165,0,0,0,2
42486166,2014_stanley_cup_final,984,sysop,69,3,25,50.79,0,42486166,0,0,0,2
46633271,2015_stanley_cup_finals,2310,sysop,69,2,25,50.79,5,46633271,0,0,0,2
46633273,2015_Stanley_Cup_finals,1238,sysop,69,2,25,50.79,0,46633273,0,0,0,2
50537912,2016_Stanley_Cup_finals,1015,sysop,69,2,25,50.79,0,50537912,0,0,0,2
50537913,2016_stanley_cup_final,1212,sysop,69,2,25,50.79,1,50537913,0,0,0,2
50537916,2016_stanley_cup_finals,2007,sysop,69,2,25,50.79,2,50537916,0,0,0,2
60583939,2019_stanley_cup_final,935,sysop,69,2,25,50.79,19,60583939,0,0,0,2
14874715,NFIA,34819,unprotected,6869,37,25,50.79,145,14874715,1,0,0,2
15451465,Jonathan Bliss,7986,unprotected,2341,23,25,50.79,29,15451465,1,0,0,2
16514490,Stephen Hoar,4943,unprotected,7209,76,25,50.79,2,16514490,1,0,0,2
28971991,Forest Fire Lookout Association,7553,unprotected,2094,20,25,50.79,50,28971991,1,0,0,2
5172501,Tactile corpuscles of Grandry,5321,unprotected,13040,28,25,50.79,21,5172501,2,0,0,2
17144344,German occupation of Estonia during World War I,45499,unprotected,8494,111,25,50.79,321,17144344,2,0,0,2
60231218,2019_Tel_Aviv_rocket_strike,37221,extendedconfirmed,7498,49,25,50.79,46,60231218,3,0,0,2
17797986,1952_raid_on_Beit_Jala,5428,extendedconfirmed,7470,368,37,2,43,17797986,9,0,0,2
48598769,2015_Gush_Etzion_Junction_attack,12825,extendedconfirmed,9904,68,32,2,41,48598769,1,2,2,2
5508002,New World crops,442438,unprotected,12924,346,46,4,9463,5508002,5,6,3,2
26574,Rooster,2977562,sysop,56,3925,201,11,28323,26574,0,0,0,3
16623945,SS Potsdam,5496,unprotected,670,12,25,50.79,43,16623945,0,0,0,3
20042982,Gil Marquez,4763,unprotected,616,20,25,50.79,19,20042982,0,0,0,3
22187225,Parallelura,2717,unprotected,58,9,25,50.79,2,22187225,0,0,0,3
23335011,The Mumbai Xpress,4988,unprotected,226,39,25,50.79,14,23335011,0,0,0,3
27166824,Echoes of Valor,8924,unprotected,1696,16,25,50.79,43,27166824,0,0,0,3
35553781,Robert Stanton Avery,3893,unprotected,1605,21,25,50.79,4,35553781,0,0,0,3
35883126,Kristina Bergstrand,4395,unprotected,1711,15,25,50.79,15,35883126,0,0,0,3
42854546,Cankle,29791,extendedconfirmed,407,6,25,50.79,44,42854546,0,0,0,3
44953578,Mabuti Potloane,5764,unprotected,1740,9,25,50.79,7,44953578,0,0,0,3
50330064,Jane Ward (volleyball),6014,unprotected,2580,16,25,50.79,100,50330064,0,0,0,3
1001251,Robert Spencer (author),532302,autoconfirmed,65,2,210,41,1825,60596940,0,0,0,3
1033826,Professional wrestling attacks,2967525,autoconfirmed,91,1,376,7,6476,62814991,0,0,0,3
63855993,2020_coronavirus_pandemic_in_the_Republic_of_Artsakh,17526,extendedconfirmed,105,1,25,50.79,4,63855993,0,0,0,3
65746765,2020_Tablighi_Jamaat_coronavirus_hotspot_in_Delhi,232767,extendedconfirmed,107,1,45,26,101,65746765,0,0,0,3
2872825,List of social networking websites,5746759,extendedconfirmed,95,1,1166,44,5431,65785331,0,0,0,3
14305018,Armed Forces of the Islamic Republic of Iran,1557978,extendedconfirmed,98,1,152,15,3352,67508150,0,0,0,3
67638847,2021_Jerusalem_clashes,95209,extendedconfirmed,91,2,25,50.79,83,67638847,0,0,0,3
994697,The Sunday Format,15807,unprotected,3759,44,25,50.79,89,994697,1,0,0,3
1143923,Honolulu University,41519,autoconfirmed,3365,165,25,50.79,461,1143923,1,0,0,3
8979715,Bolt (comics),28754,unprotected,952,7,25,50.79,52,8979715,1,0,0,3
11900591,German settlements in the Riverina,10481,unprotected,5447,39,25,50.79,59,11900591,1,0,0,3
18131480,WIZZ,18846,unprotected,3588,52,25,50.79,121,18131480,1,0,0,3
18560408,Mulock Inlet,3180,unprotected,529,20,25,50.79,7,18560408,1,0,0,3
29518238,2010 New York City Marathon,18973,unprotected,13931,62,25,50.79,105,29518238,1,0,0,3
40190933,Allan Hornyak,18965,unprotected,5267,24,25,50.79,113,40190933,1,0,0,3
1851366,WNTM,19135,unprotected,11078,143,25,50.79,103,1851366,2,0,0,3
9913874,Sameer Group,76753,unprotected,4903,64,25,50.79,631,9913874,2,0,0,3
31543806,Swinerton,46549,unprotected,5314,84,25,50.79,490,31543806,3,0,0,3
54639038,2017_Temple_Mount_crisis,42725,extendedconfirmed,21415,148,34,7,223,54639038,3,0,0,3
19318807,Éon de l'Étoile,9604,unprotected,5164,26,25,50.79,49,19318807,4,0,0,3
54632982,2017_Amman_incident,21441,extendedconfirmed,17411,180,25,50.79,116,54632982,4,0,0,3
32602140,Satchwell v President of the Republic of South Africa,10455,unprotected,4159,15,25,50.79,29,32602140,5,0,0,3
45704583,Altounyan,3211,unprotected,762,12,25,50.79,17,45704583,5,0,0,3
1126490,Yard of ale,590917,autoconfirmed,5300,352,41,4,5641,1126490,6,0,0,3
5291226,Roberval and Saguenay Railway,17352,unprotected,874,34,25,50.79,76,5291226,6,0,0,3
11291,Floccinaucinihilipilification,160037,autoconfirmed,373,709,69,8,484,11291,12,0,0,3
5151116,Slick Shoes (album),7279,unprotected,165,29,25,50.79,8,5151116,0,1,1,3
43655946,Haumaniastrum,7707,unprotected,4350,10,25,50.79,65,43655946,0,1,1,3
1066018,Philip J. Kaplan,89092,autoconfirmed,74,1,30,2,2073,68269662,0,1,1,3
7004929,1998 Riga bombing,14327,unprotected,13724,71,25,50.79,103,7004929,1,1,1,3
15514710,Eccellenza Lombardy,16679,unprotected,4932,39,25,50.79,186,15514710,1,1,1,3
1856025,1973_Israeli_raid_on_Lebanon,306947,extendedconfirmed,11924,318,151,11,3965,1856025,2,1,1,3
38348515,Rolling Stone Australia Awards,11676,unprotected,5787,21,25,50.79,60,38348515,0,2,1,3
10449970,List of TriStar Pictures films,669910,autoconfirmed,37328,1811,36,7,10681,10449970,1,2,2,3
43345873,Power Rangers Dino Charge,2294646,sysop,13582,893,82,9,12257,43345873,9,2,2,3
994248,Forfeit (baseball),114667,unprotected,17273,198,25,50.79,1475,994248,0,0,0,4
1747520,Stormont House,67905,unprotected,2667,76,25,50.79,523,1747520,0,0,0,4
6948376,Telaga,129762,extendedconfirmed,10994,1208,25,50.79,3261,6948376,0,0,0,4
10678644,Tommy Turner (footballer),16963,unprotected,3275,61,25,50.79,252,10678644,0,0,0,4
10960729,Mike Harper,7808,autoconfirmed,4549,43,25,50.79,23,10960729,0,0,0,4
11485528,Dan O'Halloran,43858,autoconfirmed,3256,149,25,50.79,144,11485528,0,0,0,4
26624894,The Quakeress,6917,unprotected,3156,22,25,50.79,17,26624894,0,0,0,4
28385909,Zabus,4067,unprotected,2393,10,25,50.79,6,28385909,0,0,0,4
29530235,Stanislav Hristov,3488,unprotected,1491,22,25,50.79,2,29530235,0,0,0,4
33002187,Kellie Wells (athlete),69661,unprotected,5074,83,25,50.79,1226,33002187,0,0,0,4
35828882,Marco Gerini,6278,unprotected,2109,19,25,50.79,29,35828882,0,0,0,4
38115655,Djursholms Ekeby,5790,unprotected,2641,9,25,50.79,15,38115655,0,0,0,4
44298454,Goephanes pictidorsis,2154,unprotected,825,7,25,50.79,4,44298454,0,0,0,4
48057153,Black Hole (2015 film),28537,unprotected,8145,43,25,50.79,124,48057153,0,0,0,4
5481257,Oil Circuit Breaker,3237,unprotected,147,6,25,50.79,2,50368589,0,0,0,4
47570046,Shaun King (activist),889195,sysop,96,4,64,15,485,52894365,0,0,0,4
10304105,Machete (film),965522,autoconfirmed,93,3,104,13,263,54393909,0,0,0,4
142056,Madonna (entertainer),24732062,sysop,126,3,1314,100,21085,64683029,0,0,0,4
134907,"Badger, South Dakota",13004,unprotected,11369,94,25,50.79,68,134907,1,0,0,4
1894958,Ergastulum,28043,unprotected,4552,38,25,50.79,395,1894958,1,0,0,4
6479721,Jeff Trandahl,20351,unprotected,7845,105,25,50.79,127,6479721,1,0,0,4
12410725,Rock skipper,7947,unprotected,3594,44,25,50.79,22,12410725,1,0,0,4
15559781,No Mercy (2005),345254,unprotected,27004,453,25,50.79,3765,15559781,1,0,0,4
20152869,Natércia,10660,unprotected,2251,47,25,50.79,27,20152869,1,0,0,4
36466994,Lelei Fonoimoana,7116,unprotected,2338,24,25,50.79,43,36466994,1,0,0,4
40744818,Cosmosoma aurifera,3159,unprotected,803,12,25,50.79,6,40744818,1,0,0,4
44687054,Dichocrocis eubulealis,4800,unprotected,811,9,25,50.79,10,44687054,1,0,0,4
1204347,British Rail DHP1,20675,unprotected,2656,32,25,50.79,140,1204347,2,0,0,4
8227825,Morrisons Cove,17541,unprotected,6129,72,25,50.79,114,8227825,2,0,0,4
10256222,The Biggest Loser Australia (season 2),40998,autoconfirmed,64158,682,25,50.79,365,10256222,2,0,0,4
11026242,Traumatic insemination,948886,autoconfirmed,32372,466,82,7,4261,11026242,2,0,0,4
11123648,Canterbury University (Seychelles),39615,autoconfirmed,7300,622,36,3,166,11123648,2,0,0,4
32918714,2011_Tel_Aviv_nightclub_attack,34639,extendedconfirmed,23653,266,25,50.79,171,32918714,2,0,0,4
41552509,Terpsichora,31620,unprotected,6127,25,25,50.79,315,41552509,2,0,0,4
19814070,Chardon de Croisilles,7082,unprotected,2936,19,25,50.79,11,19814070,3,0,0,4
36040410,Woody Paige,341834,extendedconfirmed,5892,653,37,50.79,2706,36040410,3,0,0,4
1059962,KVIE,54603,autoconfirmed,6465,230,25,50.79,448,1059962,4,0,0,4
6160716,"Barview, Oregon",11741,unprotected,6338,52,25,50.79,62,6160716,4,0,0,4
10391001,Lil Wayne albums discography,1452032,autoconfirmed,36254,9155,80,12,15691,10391001,4,0,0,4
42990507,Big Brother Canada (season 3),431001,sysop,59408,1628,25,50.79,2159,42990507,4,0,0,4
1114570,John O'Shea,1593669,autoconfirmed,44683,2315,72,4,12293,1114570,5,0,0,4
55897845,2018_Novak_Djokovic_tennis_season,125593,extendedconfirmed,42039,376,25,50.79,1582,55897845,0,1,1,4
48899498,List of Power Rangers Dino Super Charge episodes,891490,sysop,37471,406,45,8,2453,48899498,2,1,1,4
31272990,2011_Jerusalem_bus_stop_bombing,17571,extendedconfirmed,18910,328,25,50.79,48,31272990,3,1,1,4
31662519,2015_Canadian_federal_election,1303885,sysop,104716,2624,144,24,27218,31662519,22,1,1,4
38026467,Malaysia Federal Route 230,5869,unprotected,2989,25,25,50.79,11,38026467,1,2,1,4
10422721,Pacific Northwest tree octopus,789589,autoconfirmed,8575,2317,90,7,3546,10422721,12,2,1,4
1056214,Ljubo Miloš,69231,autoconfirmed,14712,288,25,50.79,925,1056214,2,2,2,4
10682197,List of Waterloo Road characters,605493,autoconfirmed,42606,4628,49,2,6525,10682197,114,7,2,4
1079866,Mantle (geology),1959765,autoconfirmed,7545,2413,201,19,8025,1079866,2,4,3,4
10595985,Phil Nibbelink,54442,autoconfirmed,4975,237,25,50.79,1528,10595985,0,0,0,5
11392263,Sacramento County Jail,59319,autoconfirmed,933,39,25,50.79,531,11392263,0,0,0,5
11591980,1967_Palestinian_exodus,75466,extendedconfirmed,5267,106,39,6,537,11591980,0,0,0,5
16825300,Calhoun County Courthouse (South Carolina),7522,unprotected,3739,28,25,50.79,23,16825300,0,0,0,5
22107014,"Logan Township, Sherman County, Kansas",5105,unprotected,3406,19,25,50.79,10,22107014,0,0,0,5
25397157,Vriesea schunkii,3472,unprotected,1019,11,25,50.79,3,25397157,0,0,0,5
25460933,Vriesea pardalina,4510,unprotected,1023,13,25,50.79,21,25460933,0,0,0,5
31090870,Irish Coffee (band),30233,unprotected,10095,65,25,50.79,297,31090870,0,0,0,5
35778912,"Maxine, West Virginia",8951,unprotected,2774,8,25,50.79,35,35778912,0,0,0,5
40654445,Former Residence of Ba Jin,8833,unprotected,3666,14,25,50.79,30,40654445,0,0,0,5
46180677,Ditrigona chama,2813,unprotected,1532,12,25,50.79,3,46180677,0,0,0,5
24596500,Kamaal Rashid Khan,1760361,extendedconfirmed,75,1,43,5,2085,62514488,0,0,0,5
10128,Elizabeth I of England,27703236,autoconfirmed,72,1,1255,93,50759,64146479,0,0,0,5
9406648,Pittsburgh Center for the Arts,41153,unprotected,11730,74,25,50.79,145,9406648,1,0,0,5
12973138,Ace of Hearts Records (US),15409,unprotected,13195,116,25,50.79,130,12973138,1,0,0,5
13491517,Fredrik Hermansson,18818,unprotected,2850,50,25,50.79,83,13491517,1,0,0,5
18639933,Sojczyn Grądowy,3660,unprotected,1517,9,25,50.79,13,18639933,1,0,0,5
26293522,Lists of Palestinian rocket attacks on Israel,38148,extendedconfirmed,2442,55,25,50.79,237,26293522,1,0,0,5
33775301,Monument to Christ the King,13435,unprotected,8013,35,25,50.79,83,33775301,1,0,0,5
48985076,William Dunstone,4074,unprotected,1878,6,25,50.79,8,48985076,1,0,0,5
10101151,IQ and Global Inequality,228056,autoconfirmed,16224,1120,126,13,1581,10101151,2,0,0,5
10255667,The Biggest Loser Australia (season 1),99699,autoconfirmed,16935,321,25,50.79,1327,10255667,2,0,0,5
11574890,1880_Republican_National_Convention,195738,sysop,66649,481,42,5,1023,11574890,2,0,0,5
20921922,Camissoniopsis hirtella,3580,unprotected,1642,10,25,50.79,12,20921922,2,0,0,5
31606987,Starksia spinipenis,3042,unprotected,1853,18,25,50.79,3,31606987,2,0,0,5
35921636,Charaxes cedreatis,5767,unprotected,3551,27,25,50.79,14,35921636,2,0,0,5
48675579,Steve Levy,398167,extendedconfirmed,8020,280,25,50.79,2849,48675579,2,0,0,5
38377889,Mishen,7405,unprotected,1828,5,25,50.79,21,38377889,4,0,0,5
44279911,Palestinian stone-throwing,131797,extendedconfirmed,109895,826,68,14,1012,44279911,7,0,0,5
1018018,Burzynski Clinic,1279103,autoconfirmed,53828,1334,186,10,3558,1018018,9,0,0,5
27313295,Tosh.0,1670423,extendedconfirmed,27443,1261,1170,12,15339,27313295,18,0,0,5
29642103,Kaalo,283120,unprotected,5793,128,25,50.79,4381,29642103,0,1,1,5
10483209,Skilled Group,30320,autoconfirmed,4049,219,25,50.79,188,10483209,1,1,1,5
22612619,1946_California's_12th_congressional_district_election,29651,sysop,60744,657,25,50.79,405,22612619,1,1,1,5
1104310,James L. Dolan,2287418,autoconfirmed,31580,870,42,3,12938,1104310,2,1,1,5
6736418,Phil Hall (US writer),14549,sysop,9508,167,25,50.79,87,6736418,3,1,1,5
43471871,2014_Jerusalem_tractor_attack,34507,extendedconfirmed,15029,128,25,50.79,144,43471871,4,1,1,5
10442845,Travel website,522147,autoconfirmed,4404,448,64,4,1805,10442845,9,1,1,5
2970314,Liam Fontaine,101407,unprotected,20489,412,25,50.79,1175,2970314,0,3,1,5
16454727,Bhumihar,1035791,extendedconfirmed,28942,2591,128,16,15386,16454727,5,3,1,5
41276868,2015_Myanmar_general_election,156610,sysop,119858,1156,54,9,2085,41276868,10,3,1,5
10200539,Premier Basketball League,203961,autoconfirmed,28732,1160,25,50.79,1638,10200539,2,4,1,5
25572706,Miracle Mineral Supplement,1602602,extendedconfirmed,44124,953,174,24,14395,25572706,15,4,1,5
53259328,1947_Poonch_rebellion,60304,extendedconfirmed,69827,438,25,50.79,1829,53259328,1,4,3,5
26494,Race and intelligence,2959231,extendedconfirmed,147226,13234,957,102,19257,26494,54,6,4,5
57387798,2019_Stanley_Cup_Finals,625907,sysop,69731,661,25,50.79,6526,57387798,7,11,4,5
2423824,Nate Robinson,6411198,sysop,47971,3409,106,8,38581,2423824,3,9,6,5
55626926,2018_Stanley_Cup_Finals,701635,sysop,72180,625,25,50.79,7424,55626926,7,12,6,5
151496,Cheeseburger,969377,sysop,17581,3741,154,9,9463,151496,13,8,7,5
1123327,1998 San Marino Grand Prix,50965,autoconfirmed,12326,125,25,50.79,368,1123327,0,0,0,6
11663591,The Contractor (2007 film),234392,autoconfirmed,6479,151,25,50.79,3354,11663591,0,0,0,6
18730840,Landesliga Westfalen,10783,unprotected,3674,34,25,50.79,89,18730840,0,0,0,6
18852506,Double Time (Leon Redbone album),42507,unprotected,4813,51,25,50.79,231,18852506,0,0,0,6
22467831,"Zala, Cerknica",6778,unprotected,4375,18,25,50.79,14,22467831,0,0,0,6
28453164,Kunovec Breg,5038,unprotected,2301,10,25,50.79,10,28453164,0,0,0,6
28672240,Jubilee Garden,8546,unprotected,634,15,25,50.79,25,28672240,0,0,0,6
34343738,Scranton Lace Company,48569,unprotected,6465,56,25,50.79,195,34343738,0,0,0,6
37868236,Pottstown Landing Historic District,4114,unprotected,2543,11,25,50.79,9,37868236,0,0,0,6
42137018,On the Way (film),29116,unprotected,1660,10,25,50.79,242,42137018,0,0,0,6
48933602,Hank Goldberg,67702,extendedconfirmed,1856,214,25,50.79,400,48933602,0,0,0,6
11121,Fox News Channel,2451914,autoconfirmed,104,3,779,24,4786,52031237,0,0,0,6
1078003,Herbert Sandler,92976,autoconfirmed,5234,234,25,50.79,353,1078003,1,0,0,6
1284813,Suristan,18236,unprotected,714,30,25,50.79,62,1284813,1,0,0,6
11058016,Mohammad Asghar,53629,autoconfirmed,15929,273,25,50.79,296,11058016,1,0,0,6
11146900,Barney in Outer Space,40748,autoconfirmed,1965,170,25,50.79,328,11146900,1,0,0,6
21670197,Mieścin,2664,unprotected,1647,9,25,50.79,7,21670197,1,0,0,6
10723564,1960_South_Vietnamese_coup_attempt,106833,sysop,52093,429,37,8,427,10723564,2,0,0,6
10723564,1960_South_Vietnamese_coup_attempt,106833,sysop,52093,429,37,8,427,10723564,2,0,0,6
11849345,The Best of Baccara,12726,unprotected,3343,66,25,50.79,88,11849345,2,0,0,6
13166829,Wellington Central (New Zealand electorate),56294,unprotected,85725,269,25,50.79,475,13166829,2,0,0,6
20874386,2008 Summer Olympics on NBC,18667,unprotected,15417,58,25,50.79,611,20874386,2,0,0,6
51550220,1947_Jammu_massacres,319698,extendedconfirmed,38928,535,38,6,4533,51550220,2,0,0,6
1004706,Dysarthria,1590426,autoconfirmed,18133,342,117,7,12490,1004706,3,0,0,6
14142805,1998 Georgia Bulldogs football team,46280,sysop,6387,168,25,50.79,341,14142805,3,0,0,6
16226447,Aïn Bouyahia,6033,unprotected,1070,17,25,50.79,4,16226447,3,0,0,6
28372535,Dan Vs.,406821,extendedconfirmed,23712,1938,67,13,8825,28372535,3,0,0,6
48416590,John Craven,686603,extendedconfirmed,8114,270,25,50.79,3030,48416590,3,0,0,6
11371144,WRFF,70484,autoconfirmed,13416,331,25,50.79,527,11371144,5,0,0,6
21069417,Egyptian mythology,1687844,sysop,66143,566,381,59,15755,21069417,5,0,0,6
11567670,List of The Cosby Show characters,1178088,autoconfirmed,39232,835,35,50.79,10518,11567670,8,0,0,6
10991907,Ray Collins (American football),10279,unprotected,2183,40,25,50.79,44,10991907,1,1,1,6
1116006,Histeria!,331609,autoconfirmed,32466,970,55,7,3648,1116006,14,1,1,6
23492370,Jed York,941547,sysop,12419,515,25,50.79,2447,23492370,0,3,2,6
2527797,Heathenry (new religious movement),2429961,sysop,116950,3971,469,64,33434,2527797,90,7,5,6
442588,Mario Party,1304497,sysop,97313,2408,154,21,21869,442588,12,13,9,6
46698586,20th_Television_Animation,39509,sysop,12306,692,25,50.79,9128,46698586,4,20,13,6
67860745,2021_Maricopa_County_presidential_ballot_audit,543,extendedconfirmed,64707,232,25,50.79,14131,67860745,7,147,16,6
868404,"Sawa District, Gunma",7441,unprotected,1808,34,25,50.79,24,868404,0,0,0,7
6607217,Joe Vogel,60203,unprotected,7786,175,25,50.79,619,6607217,0,0,0,7
585629,Kiev,4537726,sysop,153,40,487,81,7945,6700583,0,0,0,7
10579795,Olga Fedori,194750,autoconfirmed,6441,251,25,50.79,876,10579795,0,0,0,7
11044005,Satellite Spies,17392,autoconfirmed,4200,250,25,50.79,64,11044005,0,0,0,7
16429381,157473_Emuno,8405,sysop,275,25,25,50.79,1,16429381,0,0,0,7
25426903,Fred Thomas (wrestler),5449,unprotected,1812,23,25,50.79,22,25426903,0,0,0,7
33263353,Brunflo FK,7884,unprotected,9326,36,25,50.79,26,33263353,0,0,0,7
43063238,Young Mrs. Winthrop,8159,unprotected,4406,31,25,50.79,16,43063238,0,0,0,7
23564616,Republic of Macedonia,7928187,extendedconfirmed,117,4,1041,37,4323,59940372,0,0,0,7
1300462,Bob Enyart,102332,sysop,6736,670,31,4,476,1300462,1,0,0,7
4972179,Blackpool Gate,6542,unprotected,1590,20,25,50.79,39,4972179,1,0,0,7
10494172,Russell Kane,940877,autoconfirmed,9543,691,25,50.79,6101,10494172,1,0,0,7
17128044,Ludgate Circus tube station,27629,unprotected,3265,57,25,50.79,215,17128044,1,0,0,7
33492496,Gustav Niessl von Mayendorf,6243,unprotected,2115,13,25,50.79,17,33492496,1,0,0,7
35761443,V. Owen Bush,10243,unprotected,24338,244,25,50.79,35,35761443,1,0,0,7
1039393,Andrewsarchus,520695,autoconfirmed,9508,654,79,9,5190,1039393,2,0,0,7
25217696,Sergio y Estíbaliz,47978,unprotected,4743,29,25,50.79,421,25217696,2,0,0,7
10721157,Shirley Phelps-Roper,1046975,autoconfirmed,10051,1010,83,9,10899,10721157,4,0,0,7
17901024,'Azza,43094,extendedconfirmed,5574,87,25,50.79,205,17901024,4,0,0,7
30984841,The Amazing Race 3 (Latin America),26082,unprotected,40242,678,25,50.79,61,30984841,4,0,0,7
52807982,2017_Jerusalem_truck_attack,44582,extendedconfirmed,22139,392,42,6,130,52807982,5,0,0,7
1402267,1941_Atlantic_hurricane_season,58416,sysop,23647,206,31,5,254,1402267,6,0,0,7
36162236,Peter Huang,26588,extendedconfirmed,11947,188,35,4,212,36162236,7,0,0,7
5006922,Mukkulathor,752065,extendedconfirmed,12342,3394,97,12,10140,5006922,13,0,0,7
10605960,Non-penetrative sex,8122043,autoconfirmed,40998,1577,447,61,158362,10605960,19,0,0,7
19533905,Castiel (Supernatural),1836645,extendedconfirmed,74987,1878,119,9,13077,19533905,0,1,1,7
11286472,Renee Alway,561163,autoconfirmed,6874,432,25,50.79,4274,11286472,2,1,1,7
67728,Petrochemical,1486571,unprotected,23015,554,135,14,15244,67728,5,1,1,7
5253337,Beyond Rangoon,159701,unprotected,9233,241,25,50.79,1716,5253337,0,2,1,7
11504,Fandom,1019279,autoconfirmed,32945,1022,183,23,10833,11504,6,2,1,7
22212156,Yadav,1785214,extendedconfirmed,45518,6413,146,20,30033,22212156,3,2,2,7
10515516,Pooja Gandhi,1031457,autoconfirmed,42752,1827,25,50.79,9056,10515516,7,2,2,7
47263,243_Ida,312413,sysop,57284,853,94,8,1949,47263,11,2,2,7
18562,Leet,2916208,sysop,24654,9877,998,46,49289,18562,193,2,2,7
4556155,Ahir,663253,extendedconfirmed,25602,3762,87,14,10806,4556155,10,4,4,7
15619833,Karan Singh Grover,7369447,extendedconfirmed,35403,5331,118,8,50293,15619833,0,15,8,7
6700858,Mornago,11383,unprotected,4428,41,25,50.79,68,6700858,0,0,0,8
10086685,Chris Malkin,19956,autoconfirmed,4274,127,25,50.79,141,10086685,0,0,0,8
10099763,Green Hills Engineering College,20048,autoconfirmed,4567,199,25,50.79,124,10099763,0,0,0,8
17062169,Tony Oden,35307,unprotected,7717,84,25,50.79,243,17062169,0,0,0,8
20921483,"Brighton High School (Brighton, Tennessee)",10482,unprotected,2638,82,25,50.79,38,20921483,0,0,0,8
22409936,James Striar School of General Jewish Studies,6928,unprotected,5366,58,25,50.79,24,22409936,0,0,0,8
27056128,Didianema pauli,4411,unprotected,1432,22,25,50.79,1,27056128,0,0,0,8
35195712,Box of Toys,10909,unprotected,3019,23,25,50.79,38,35195712,0,0,0,8
40017873,Diabetes mellitus,9197523,sysop,185,78,845,109,19829,40017940,0,0,0,8
119447,"Kelliher, Minnesota",19396,unprotected,9360,87,25,50.79,132,119447,1,0,0,8
1047310,Crosspool,36063,autoconfirmed,12572,91,25,50.79,241,1047310,1,0,0,8
9503615,Warborough,25673,unprotected,9233,60,25,50.79,284,9503615,1,0,0,8
13556677,The Guns (band),19145,unprotected,5935,217,25,50.79,80,13556677,1,0,0,8
19127843,Random Acts of Kindness Day,92292,unprotected,6185,95,25,50.79,323,19127843,1,0,0,8
36259528,Boerhavia erecta,30716,unprotected,6619,42,25,50.79,583,36259528,1,0,0,8
41750485,Marguerite Fourrier,5773,unprotected,1789,8,25,50.79,24,41750485,1,0,0,8
25379910,Parrita,8361,unprotected,4344,26,25,50.79,45,25379910,2,0,0,8
11137057,BlueWare,14764,autoconfirmed,4993,123,25,50.79,53,11137057,3,0,0,8
42742638,Claudio Daniel Stern,14989,unprotected,5932,38,25,50.79,55,42742638,3,0,0,8
1050479,BloodRayne 2,211863,autoconfirmed,11156,510,33,6,2286,1050479,4,0,0,8
1402627,1933_Atlantic_hurricane_season,180548,sysop,73751,783,40,5,1157,1402627,5,0,0,8
11237896,Kalya,73579,autoconfirmed,9200,182,25,50.79,1178,11237896,7,0,0,8
11511282,YouPorn,4908376,autoconfirmed,16548,1091,369,17,49169,11511282,9,0,0,8
2208730,Denver Center for the Performing Arts,104469,unprotected,7612,108,25,50.79,237,2208730,12,0,0,8
